year,region,province,city,position,area,candidate_name,party,votes
2010,armm,sulu,omar,VICE-MAYOR,SULU - OMAR,"UKOT, DUWAN",NPC,633
2010,armm,sulu,omar,VICE-MAYOR,SULU - OMAR,"OMMAL, ABDULHAN",PDP,90
2010,armm,sulu,omar,VICE-MAYOR,SULU - OMAR,"UKOT, FATIMA",IND,63
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"ALIMON, BACKAR",NPC,1440
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"ANGSA, PUTLIH",UNA,1335
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"ADAN, KIM",LP,990
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"AMIL, ABDUA",IND,956
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"SAMMARA, ABDULLA",LP,945
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"SALAPUDDIN, ERI",UNA,921
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"SAHIBUN, HAJIRUN",UNA,900
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"MUHAJILI, SAJILI",UNA,880
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"JAHIMODDEN, SABRI",IND,876
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"NINIH, IMMIE",UNA,871
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"MUKAKIL, GABIR",UNA,852
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"KALAYAKAN, ARMADON",NPC,793
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"ABDURAHIM, BLACK",LP,791
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"ASMAWIL, NHAS",UNA,748
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"HALILUDDIN, SALAMADDIN",UNA,720
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"SALIBUDDIN, MUHAJIRIN",IND,704
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"LAUPPAH, RICKY",LP,685
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"JUMALA, EJIR",IND,673
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"ADJID, MADJID",LP,664
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"JALIL, MURPHY",NPC,653
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"AMIRIL, AMIRON",NPC,613
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"BUAL, MANGUMMA",PDP,594
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"JULKARNAIN, DELMAR",LP,562
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"BADAH, EDOK",IND,530
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"BUYOK, SADDIYA",LP,524
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"MUDJASAM, RAHSA",NPC,511
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"IBNO, ABDURAHMAN",IND,497
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"ALIUDDIN, INDANAN",NPC,487
2010,armm,sulu,omar,"MEMBER, SANGGUNIANG BAYAN",SULU - OMAR - LONE DIST,"MANSUL, JINNUL",NPC,467
